pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,toc_title,toc_link,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,notes,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc2_258,2,268,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1321,1325,258,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0735/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0735/full/full/0/default.jpg,
toc2_259,2,269,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1326,1330,259,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0736/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0736/full/full/0/default.jpg,
toc2_260,2,270,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1331,1335,260,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0737/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0737/full/full/0/default.jpg,
toc2_261,2,271,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1336,1340,261,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0738/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0738/full/full/0/default.jpg,
toc2_262,2,272,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1341,1345,262,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0739/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0739/full/full/0/default.jpg,
toc2_263,2,273,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1346,1350,263,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0740/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0740/full/full/0/default.jpg,
toc2_264,2,274,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1351,1355,264,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0741/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0741/full/full/0/default.jpg,
toc2_265,2,275,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1356,1360,265,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0742/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0742/full/full/0/default.jpg,
toc2_266,2,276,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1361,1365,266,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0743/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0743/full/full/0/default.jpg,
toc2_267,2,277,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1366,1370,267,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0744/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0744/full/full/0/default.jpg,
toc2_268,2,278,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1371,1375,268,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0745/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0745/full/full/0/default.jpg,
toc2_269,2,279,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1376,1380,269,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0746/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0746/full/full/0/default.jpg,
toc2_270,2,280,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1381,1385,270,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0747/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0747/full/full/0/default.jpg,
toc2_271,2,281,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1386,1390,271,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0748/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0748/full/full/0/default.jpg,
toc2_272,2,282,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1391,1395,272,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0749/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0749/full/full/0/default.jpg,
toc2_273,2,283,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,Entry 1400 is cancelled.,1396,1400,273,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0750/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0750/full/full/0/default.jpg,
toc2_274,2,284,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,Entry 1401 is cancelled.,1401,1405,274,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0751/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0751/full/full/0/default.jpg,
toc2_275,2,285,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1406,1410,275,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0752/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0752/full/full/0/default.jpg,
toc2_276,2,286,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1411,1415,276,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0753/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0753/full/full/0/default.jpg,
