pid,volume,image,type,toc_title,toc_link,section_title,pastorius_section_header,pastorius_description,contents,First entry,Last entry,order,thumbnail,full,notes_DONOTUSE
toc3_11,3,11,Indices,,,Octavo Index,,,bran - careless,bran,careless,11,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0954/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0954/full/full/0/default.jpg,
toc3_12,3,12,Indices,,,Octavo Index,,,caribeans - Christ-'s decension,caribeans,Christ - 's descension,12,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0955/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0955/full/full/0/default.jpg,
toc3_13,3,13,Indices,,,Octavo Index,,,false Christs - comparison--of hands,false Christs,comparison - of hands,13,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0956/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0956/full/full/0/default.jpg,
toc3_14,3,14,Indices,,,Octavo Index,,,compass - correspondence,compass,correspondence,14,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0957/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0957/full/full/0/default.jpg,
toc3_15,3,15,Indices,,,Octavo Index,,,corrupted - to debase,corrupted,to debase,15,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0958/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0958/full/full/0/default.jpg,
toc3_16,3,16,Indices,,,Octavo Index,,,Debora - discord,Debora,discord,16,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0959/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0959/full/full/0/default.jpg,
toc3_17,3,17,Indices,,,Octavo Index,,,discovery - drunkeness,discovery,drunkeness,17,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0960/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0960/full/full/0/default.jpg,
toc3_18,3,18,Indices,Entries: duck - irony,Entries_duck_irony,Octavo Index,,,duck - to entreat,duck,to entreat,18,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0961/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0961/full/full/0/default.jpg,
toc3_19,3,19,Indices,,,Octavo Index,,,envy - Ezekiel,envy,Ezekiel,19,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0962/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0962/full/full/0/default.jpg,
toc3_20,3,20,Indices,,,Octavo Index,,,Fables - flock,Fables,flock,20,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0963/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0963/full/full/0/default.jpg,"Actual last entry in alphabetical order is ""to flourish""; FDP indicates switch in order"
toc3_21,3,21,Indices,,,Octavo Index,,,flood - generally,flood,generally,21,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0964/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0964/full/full/0/default.jpg,
toc3_22,3,22,Indices,,,Octavo Index,,,generation - grave,generation,grave,22,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0965/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0965/full/full/0/default.jpg,
toc3_23,3,23,Indices,,,Octavo Index,,,gravel - heretofore,gravel,heretofore,23,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0966/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0966/full/full/0/default.jpg,
toc3_24,3,24,Indices,,,Octavo Index,,,heresy - Jacob,heresy,Jacob,24,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0967/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0967/full/full/0/default.jpg,
toc3_25,3,25,Indices,,,Octavo Index,,,Jamaica - indictment,Jamaica,indictment,25,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0968/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0968/full/full/0/default.jpg,
toc3_26,3,26,Indices,,,Octavo Index,,,indifferency - irony,indifferency,irony,26,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0969/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_0969/full/full/0/default.jpg,
